nl,paraphrases,sql,tables,columns,business_intent,complexity,alternatives,label
What is the average time (in terms of hour of day) when web returns are processed?,,"SELECT dummy_col, cp_department, COUNT(*) AS page_count FROM catalog_page GROUP BY cp_department ORDER BY page_count DESC",catalog_page,catalog_page.cp_department,,medium,,0
What is the average time (in terms of hour of day) when web returns are processed?,,"SELECT dummy_col, AVG(t_hour) AS avg_return_hour
FROM web_returns
JOIN time_dim ON web_returns.wr_returned_time_sk = time_dim.t_time_sk",web_returns;time_dim,web_returns.wr_returned_time_sk;time_dim.t_time_sk,,hard,,0
What is the distribution of returns by gender and marital status?,"# Paraphrases of the Original Question

1. How are returns distributed when categorized by gender and marital status?

2. Can you break down the return distribution according to customers' gender and whether they are married or not?

3. What patterns emerge in the return data when segmented by both gender and marital status?","SELECT cd_gender, cd_marital_status, COUNT(*) as return_count FROM store_returns JOIN customer_demographics ON sr_cdemo_sk = cd_demo_sk GROUP BY cd_gender, cd_marital_status ORDER BY return_count DESC",store_returns;customer_demographics,,"To analyze return patterns based on customer demographics, specifically examining if there are any significant differences in return behavior across gender and marital status segments. This information can help in targeted customer retention strategies and understanding which demographic groups might need special attention to reduce returns.",medium,We could also include the average return amount by joining additional columns from store_returns and grouping by the same demographic segments to get deeper insights into not just frequency but also financial impact of returns across demographics.,1
What is the distribution of returns by gender and marital status?,,"SELECT hd_buy_potential, hd_vehicle_count, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential, hd_vehicle_count ORDER BY hd_buy_potential, hd_vehicle_count",household_demographics,household_demographics.hd_buy_potential;household_demographics.hd_vehicle_count,,medium,,0
What is the distribution of returns by gender and marital status?,,"SELECT dummy_col, cd_gender, cd_marital_status, COUNT(*) as return_count FROM store_returns JOIN customer_demographics ON sr_cdemo_sk = cd_demo_sk GROUP BY cd_gender, cd_marital_status ORDER BY return_count DESC",store_returns;customer_demographics,,,hard,,0
Which hours of the day have the most customer addresses in the Pacific time zone (GMT offset -8)?,"Here are 3 different paraphrases of the original question:

1. During which times of day do we see the highest number of customers with addresses in the Pacific time zone (GMT-8)?

2. What are the peak hours when customer addresses are most concentrated in the Pacific time zone (GMT offset -8)?

3. In the Pacific time zone (GMT-8), which specific hours show the greatest density of customer address locations?","SELECT t.t_hour, COUNT(*) as address_count FROM customer_address ca JOIN time_dim t ON ca.ca_gmt_offset = -8 GROUP BY t.t_hour ORDER BY address_count DESC",time_dim;customer_address,,"To understand the hourly distribution of customers in the Pacific time zone, which could help with staffing customer service, planning marketing campaigns, or optimizing service delivery times for this geographic segment.",medium,"We could analyze this data by specific time periods (morning/afternoon/evening) using t_am_pm or t_shift instead of raw hours;If we wanted more geographic specificity, we could also filter by state or city within the Pacific time zone",1
Which hours of the day have the most customer addresses in the Pacific time zone (GMT offset -8)?,,"SELECT DISTINCT dummy_col, i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,,hard,,0
Which hours of the day have the most customer addresses in the Pacific time zone (GMT offset -8)?,,"SELECT dummy_col, t.t_hour, COUNT(*) as address_count FROM customer_address ca JOIN time_dim t ON ca.ca_gmt_offset = -8 GROUP BY t.t_hour ORDER BY address_count DESC",time_dim;customer_address,,,hard,,0
What is the count of web sites in each income band?,"# Paraphrases of ""What is the count of web sites in each income band?""

1. How many websites fall within each income category?

2. Could you provide the number of web sites distributed across the different income bands?

3. What's the distribution of website quantities across each income tier?","SELECT ib.ib_lower_bound, ib.ib_upper_bound, COUNT(ws.web_site_sk) as site_count FROM income_band ib LEFT JOIN web_site ws ON ws.web_mean_income BETWEEN ib.ib_lower_bound AND ib.ib_upper_bound GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound;",income_band;web_site,,"To analyze the distribution of web sites across different income segments or bands, which can help in understanding how web sites are positioned relative to customer income demographics. This information can be useful for marketing strategies, audience targeting, and business development.",medium,"We could alternatively frame this as 'For each income band, show the number of web sites that target customers in that income range';Another approach could be to calculate the percentage of web sites in each income band rather than just the count",1
What is the count of web sites in each income band?,,"SELECT t.t_hour, COUNT(*) AS num_transactions, SUM(ws_net_paid) AS total_sales FROM web_sales ws JOIN time_dim t ON ws.ws_sold_time_sk = t.t_time_sk GROUP BY t.t_hour ORDER BY t.t_hour",web_sales;time_dim,,,hard,,0
What is the count of web sites in each income band?,,"SELECT dummy_col, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(ws.web_site_sk) as site_count FROM income_band ib LEFT JOIN web_site ws ON ws.web_mean_income BETWEEN ib.ib_lower_bound AND ib.ib_upper_bound GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound;",income_band;web_site,,,hard,,0
What are the top 5 store locations with the highest count of closures in the year 2000?,"# Paraphrased Versions

1. Which five store locations experienced the greatest number of closures during the year 2000?

2. In the year 2000, which store locations ranked highest in terms of closure count, specifically the top 5?

3. Identify the five retail locations that had the most closures in 2000, ranked by closure frequency.","SELECT s.s_city, s.s_state, COUNT(*) as closure_count 
FROM store s 
JOIN date_dim d ON s.s_closed_date_sk = d.d_date_sk 
WHERE d.d_year = 2000 
GROUP BY s.s_city, s.s_state 
ORDER BY closure_count DESC 
LIMIT 5;",date_dim;store,,"To identify geographic patterns in store closures for a specific year, which can help management understand potential regional challenges or market saturation issues. This analysis could inform future site selection strategies and resource allocation decisions.",medium,We could include additional store attributes like s_market_id to analyze if closures correlate with specific markets;We could extend the analysis to compare multiple years by grouping by d_year to identify trends over time,1
What are the top 5 store locations with the highest count of closures in the year 2000?,,"SELECT DISTINCT dummy_col, sm_type FROM ship_mode ORDER BY sm_type;",ship_mode,ship_mode.sm_type,,easy,,0
What are the top 5 store locations with the highest count of closures in the year 2000?,,"SELECT dummy_col, s.s_city, s.s_state, COUNT(*) as closure_count 
FROM store s 
JOIN date_dim d ON s.s_closed_date_sk = d.d_date_sk 
WHERE d.d_year = 2000 
GROUP BY s.s_city, s.s_state 
ORDER BY closure_count DESC 
LIMIT 5;",date_dim;store,,,hard,,0
Which stores have the highest number of product returns in 2002?,"# Paraphrased Versions

1. In 2002, which retail locations experienced the greatest volume of merchandise being returned?

2. What stores received the most product returns during the year 2002?

3. Which retail establishments had the maximum quantity of items returned by customers in 2002?","SELECT s.s_store_id, s.s_store_name, COUNT(*) as return_count 
FROM store_returns sr 
JOIN store s ON sr.sr_store_sk = s.s_store_sk 
JOIN date_dim d ON sr.sr_returned_date_sk = d.d_date_sk 
WHERE d.d_year = 2002 
GROUP BY s.s_store_id, s.s_store_name 
ORDER BY return_count DESC",store_returns;date_dim;store,,"To identify stores with the highest return rates, which helps management understand where product returns are most prevalent. This analysis can guide improvements in store operations, staff training, or product quality issues specific to problematic locations.",medium,"We could analyze this by return quantity or return amount instead of just counting return incidents;We could further segment the analysis by product category, season, or return reason to provide deeper insights",1
Which stores have the highest number of product returns in 2002?,,"SELECT dummy_col, AVG(wr_return_amt) as avg_return_amount
FROM web_returns wr
JOIN catalog_page cp ON wr.wr_item_sk = cp.cp_catalog_page_sk
WHERE DATEDIFF(day, cp.cp_start_date_sk, wr.wr_returned_date_sk) <= 7
AND wr.wr_returned_date_sk >= cp.cp_start_date_sk;",web_returns;catalog_page,,,hard,,0
Which stores have the highest number of product returns in 2002?,,"SELECT dummy_col, s.s_store_id, s.s_store_name, COUNT(*) as return_count 
FROM store_returns sr 
JOIN store s ON sr.sr_store_sk = s.s_store_sk 
JOIN date_dim d ON sr.sr_returned_date_sk = d.d_date_sk 
WHERE d.d_year = 2002 
GROUP BY s.s_store_id, s.s_store_name 
ORDER BY return_count DESC",store_returns;date_dim;store,,,hard,,0
What hour of the day sees the highest number of web returns?,"# Paraphrases of ""What hour of the day sees the highest number of web returns?""

1. During which hour do web returns reach their peak volume?

2. At what time of day do customers process the most online product returns?

3. Which specific hour experiences the maximum frequency of web-based return transactions?","SELECT t.t_hour, COUNT(*) as return_count FROM web_returns wr JOIN time_dim t ON wr.wr_returned_time_sk = t.t_time_sk GROUP BY t.t_hour ORDER BY return_count DESC LIMIT 1",web_returns;time_dim,,"To identify patterns in customer return behavior by time of day, which can help optimize staffing for customer service and return processing teams, as well as understand customer preferences for when they process returns.",medium,We could analyze return patterns by different time groupings such as morning/afternoon/evening or by work shifts using t_shift column instead of hourly analysis.,1
What hour of the day sees the highest number of web returns?,,"SELECT dummy_col, d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What hour of the day sees the highest number of web returns?,,"SELECT dummy_col, t.t_hour, COUNT(*) as return_count FROM web_returns wr JOIN time_dim t ON wr.wr_returned_time_sk = t.t_time_sk GROUP BY t.t_hour ORDER BY return_count DESC LIMIT 1",web_returns;time_dim,,,hard,,0
"What are the top 5 cities with the most customer addresses, and how many addresses are in each city?","# Paraphrases of the Original Question

1. In which 5 cities do we have the highest number of customer addresses, and what is the address count for each of these cities?

2. Could you identify the five cities containing the greatest quantity of customer addresses and provide the total number of addresses per city?

3. Which cities rank in the top 5 for customer address volume, and how many customer addresses does each of these cities contain?","SELECT ca_city, COUNT(*) as address_count FROM customer_address GROUP BY ca_city ORDER BY address_count DESC LIMIT 5",customer_address,customer_address.ca_city,"To identify geographic concentration of customers, which helps with resource allocation, marketing strategy, and potential expansion plans by understanding where the largest customer populations reside.",easy,"SELECT ca_city, COUNT(ca_address_sk) as address_count FROM customer_address GROUP BY ca_city ORDER BY address_count DESC LIMIT 5;Could also include additional grouping by state or country for more granular geographic analysis if needed.",1
"What are the top 5 cities with the most customer addresses, and how many addresses are in each city?",,SELECT COUNT(*) FROM customer_demographics WHERE cd_education_status LIKE '%College%' AND cd_purchase_estimate > 5000,customer_demographics,customer_demographics.cd_education_status;customer_demographics.cd_purchase_estimate,,easy,,0
"What are the top 5 cities with the most customer addresses, and how many addresses are in each city?",,"SELECT dummy_col, ca_city, COUNT(*) as address_count FROM customer_address GROUP BY ca_city ORDER BY address_count DESC LIMIT 5",customer_address,customer_address.ca_city,,medium,,0
What are all the unique reason descriptions in the reason table?,"# Paraphrase 1
Can you list all the distinct descriptions found in the reason table's reason description field?

# Paraphrase 2
I need to see every different reason description that exists in the reason table, with no duplicates.

# Paraphrase 3
Please provide all unique text entries from the description column of the reason table.",SELECT DISTINCT r_reason_desc FROM reason ORDER BY r_reason_desc;,reason,reason.r_reason_desc,To understand all the possible categories or explanations that are used throughout the system for classification purposes. This helps business users understand the complete set of reason codes available for analysis and reporting.,easy,SELECT r_reason_desc FROM reason GROUP BY r_reason_desc ORDER BY r_reason_desc;;SELECT r_reason_desc FROM reason ORDER BY r_reason_desc;,1
What are all the unique reason descriptions in the reason table?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What are all the unique reason descriptions in the reason table?,,"SELECT DISTINCT dummy_col, r_reason_desc FROM reason ORDER BY r_reason_desc;",reason,reason.r_reason_desc,,easy,,0
What is the total number of web sales transactions for customers in California?,"Here are three different paraphrases of the original question:

1. How many web sales transactions were completed by customers residing in California?

2. For customers located in California, what is the count of all transactions made through the web?

3. What is the aggregate number of online purchase transactions conducted by California-based customers?",SELECT COUNT(*) FROM web_sales ws JOIN customer_address ca ON ws.ws_bill_customer_sk = ca.ca_address_sk WHERE ca.ca_state = 'CA',web_sales;customer_address,,"To understand the sales volume from California customers, which helps in regional sales analysis, market penetration assessment, and potentially regional marketing strategy development.",medium,Could also analyze by using shipping address instead of billing address if that's more relevant to the business question;Could extend this to compare California sales with other states by grouping by state,1
What is the total number of web sales transactions for customers in California?,,"SELECT i.i_category, SUM(ws.ws_net_paid) as total_sales FROM web_sales ws JOIN item i ON ws.ws_item_sk = i.i_item_sk GROUP BY i.i_category ORDER BY total_sales DESC",web_sales;item,,,hard,,0
What is the total number of web sales transactions for customers in California?,,"SELECT dummy_col, COUNT(*) FROM web_sales ws JOIN customer_address ca ON ws.ws_bill_customer_sk = ca.ca_address_sk WHERE ca.ca_state = 'CA'",web_sales;customer_address,,,hard,,0
What are the top 5 most common reasons given for web returns?,"# Paraphrases of the Original Question

1. What are the five leading causes cited when customers return products purchased online?

2. Could you identify the top five explanations customers typically provide when sending back items bought on websites?

3. What reasons do consumers most frequently give when returning merchandise they ordered online? Please list the top five.","SELECT r.r_reason_desc, COUNT(*) as return_count FROM web_returns wr JOIN reason r ON wr.wr_reason_sk = r.r_reason_sk GROUP BY r.r_reason_desc ORDER BY return_count DESC LIMIT 5",web_returns;reason,,"To identify the most common reasons customers return products purchased online, which can help the business address quality issues, improve product descriptions, or enhance customer experience to reduce return rates.",easy,"Could also analyze return reasons by product category, time period, or customer demographics to gain deeper insights into return patterns.",1
What are the top 5 most common reasons given for web returns?,,"SELECT ca_city, COUNT(*) as address_count FROM customer_address GROUP BY ca_city ORDER BY address_count DESC LIMIT 5",customer_address,customer_address.ca_city,,medium,,0
What are the top 5 most common reasons given for web returns?,,"SELECT dummy_col, r.r_reason_desc, COUNT(*) as return_count FROM web_returns wr JOIN reason r ON wr.wr_reason_sk = r.r_reason_sk GROUP BY r.r_reason_desc ORDER BY return_count DESC LIMIT 5",web_returns;reason,,,hard,,0
What is the average inventory quantity per warehouse?,"# Paraphrases of ""What is the average inventory quantity per warehouse?""

1. On average, how much inventory does each warehouse hold?

2. What's the typical amount of stock maintained in each warehouse facility?

3. If we look across all warehouses, what is the mean quantity of inventory stored per location?","SELECT inv_warehouse_sk, AVG(inv_quantity_on_hand) AS avg_quantity 
FROM inventory 
GROUP BY inv_warehouse_sk 
ORDER BY inv_warehouse_sk;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,"To analyze inventory distribution across different warehouse locations to identify warehouses with high or low average stock levels, which can help with inventory optimization, warehouse capacity planning, and supply chain management decisions.",easy,"SELECT inv_warehouse_sk, SUM(inv_quantity_on_hand)/COUNT(inv_quantity_on_hand) AS avg_quantity FROM inventory GROUP BY inv_warehouse_sk ORDER BY inv_warehouse_sk;",1
What is the average inventory quantity per warehouse?,,"SELECT AVG(t_hour) AS avg_return_hour
FROM web_returns
JOIN time_dim ON web_returns.wr_returned_time_sk = time_dim.t_time_sk",web_returns;time_dim,time_dim.t_time_sk;web_returns.wr_returned_time_sk,,hard,,0
What is the average inventory quantity per warehouse?,,"SELECT dummy_col, inv_warehouse_sk, AVG(inv_quantity_on_hand) AS avg_quantity 
FROM inventory 
GROUP BY inv_warehouse_sk 
ORDER BY inv_warehouse_sk;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,,medium,,0
What is the average quantity of items sold per catalog sale transaction for purchases made from web pages created in January 2002?,"# Paraphrases of the Original Question

1. For catalog sales transactions originating from web pages developed in January 2002, what was the mean number of items sold per transaction?

2. What was the typical number of products purchased per order in catalog sales that came through web pages designed during January 2002?

3. Regarding web pages that were created in January 2002, what is the average number of items per transaction for purchases made through catalog sales?","SELECT AVG(cs.cs_quantity) AS avg_quantity_per_transaction
FROM catalog_sales cs
JOIN web_page wp ON cs.cs_web_page_sk = wp.wp_web_page_sk
WHERE wp.wp_creation_date_sk IN (
  SELECT d_date_sk 
  FROM date_dim 
  WHERE d_year = 2002 AND d_moy = 1
)",catalog_sales;date_dim;web_page,,"To analyze the relationship between web page creation timing and catalog sales performance. This helps understand if newer web pages lead to different purchasing behaviors, specifically examining if web pages created in a specific time period result in larger or smaller order sizes.",medium,"We could alternatively use a direct date comparison if the wp_creation_date column was available instead of wp_creation_date_sk. Additionally, if we wanted to segment the results further, we could group by web page type or category to see if different types of pages created in that period had varying sales quantities.",1
What is the average quantity of items sold per catalog sale transaction for purchases made from web pages created in January 2002?,,"SELECT dummy_col, cp_department, COUNT(*) AS page_count FROM catalog_page WHERE cp_start_date_sk <= (SELECT d_date_sk FROM date_dim WHERE d_date = '2002-06-30') AND (cp_end_date_sk IS NULL OR cp_end_date_sk >= (SELECT d_date_sk FROM date_dim WHERE d_date = '2002-01-01')) GROUP BY cp_department ORDER BY page_count DESC",date_dim;catalog_page,,,hard,,0
What is the average quantity of items sold per catalog sale transaction for purchases made from web pages created in January 2002?,,"SELECT dummy_col, AVG(cs.cs_quantity) AS avg_quantity_per_transaction
FROM catalog_sales cs
JOIN web_page wp ON cs.cs_web_page_sk = wp.wp_web_page_sk
WHERE wp.wp_creation_date_sk IN (
  SELECT d_date_sk 
  FROM date_dim 
  WHERE d_year = 2002 AND d_moy = 1
)",catalog_sales;date_dim;web_page,,,hard,,0
What are the top 5 states with the most customer addresses?,"# Paraphrases of the Original Question

1. Which five states contain the highest number of customer addresses?

2. Among all states, which five have the largest quantity of customer mailing addresses?

3. If we rank states by their customer address count, which ones occupy the top five positions?","SELECT ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC LIMIT 5",customer_address,customer_address.ca_state,"To identify the states with the highest customer concentration, which can inform regional marketing strategies, supply chain decisions, or expansion plans. This analysis helps understand geographic distribution of the customer base.",easy,"SELECT ca_state, COUNT(ca_address_sk) as customer_count FROM customer_address GROUP BY ca_state ORDER BY customer_count DESC LIMIT 5;We could include additional geographic analysis by including city or county counts within these states",1
What are the top 5 states with the most customer addresses?,,"SELECT dummy_col, SUM(cr_return_quantity) AS total_returned_quantity FROM catalog_returns cr JOIN web_sales ws ON cr.cr_item_sk = ws.ws_item_sk AND cr.cr_order_number = ws.ws_order_number",catalog_returns;web_sales,,,hard,,0
What are the top 5 states with the most customer addresses?,,"SELECT dummy_col, ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC LIMIT 5",customer_address,customer_address.ca_state,,medium,,0
Find the top 10 warehouses with the largest square footage and their corresponding names.,"# Paraphrases of the Original Question

1. Identify the 10 warehouses that have the greatest square footage, and list their names alongside their measurements.

2. Which warehouses rank as the top 10 in terms of size by square footage? Please provide both their names and dimensions.

3. List the names and square footage measurements of the 10 largest warehouses, ranked by area.","SELECT w_warehouse_name, w_warehouse_sq_ft FROM warehouse ORDER BY w_warehouse_sq_ft DESC LIMIT 10;",warehouse,warehouse.w_warehouse_name;warehouse.w_warehouse_sq_ft,"To identify the largest warehouse facilities by physical size, which can help in capacity planning, resource allocation, or understanding distribution capabilities across the company's largest facilities.",easy,"SELECT w_warehouse_id, w_warehouse_name, w_warehouse_sq_ft FROM warehouse ORDER BY w_warehouse_sq_ft DESC LIMIT 10;;SELECT w_warehouse_name, w_warehouse_sq_ft FROM warehouse WHERE w_warehouse_sq_ft IS NOT NULL ORDER BY w_warehouse_sq_ft DESC LIMIT 10;",1
Find the top 10 warehouses with the largest square footage and their corresponding names.,,SELECT AVG(inv_quantity_on_hand) AS avg_quantity FROM inventory,inventory,inventory.inv_quantity_on_hand,,easy,,0
Find the top 10 warehouses with the largest square footage and their corresponding names.,,"SELECT dummy_col, w_warehouse_name, w_warehouse_sq_ft FROM warehouse ORDER BY w_warehouse_sq_ft DESC LIMIT 10;",warehouse,warehouse.w_warehouse_name;warehouse.w_warehouse_sq_ft,,easy,,0
What is the average quantity on hand for inventory items by warehouse?,"# Paraphrases of the Original Question

1. For each warehouse, what is the mean number of units currently stocked across all inventory items?

2. How many items do warehouses typically have in stock, calculated as an average across all inventory products?

3. What is the typical inventory level per item when grouped by warehouse location?","SELECT inv_warehouse_sk, AVG(inv_quantity_on_hand) AS avg_quantity 
FROM inventory 
GROUP BY inv_warehouse_sk 
ORDER BY inv_warehouse_sk;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,"To analyze inventory distribution across warehouses and identify which warehouses maintain higher or lower average stock levels. This helps in inventory management, warehouse capacity planning, and potential rebalancing of stock across locations.",easy,Could be modified to include a HAVING clause to filter for warehouses with particularly high or low average quantities;Could join with a warehouse dimension table (if available) to show warehouse names instead of surrogate keys,1
What is the average quantity on hand for inventory items by warehouse?,,"SELECT dummy_col, inv_warehouse_sk, SUM(inv_quantity_on_hand) as total_quantity FROM inventory WHERE inv_quantity_on_hand > 500 GROUP BY inv_warehouse_sk ORDER BY total_quantity DESC;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,,medium,,0
What is the average quantity on hand for inventory items by warehouse?,,"SELECT dummy_col, inv_warehouse_sk, AVG(inv_quantity_on_hand) AS avg_quantity 
FROM inventory 
GROUP BY inv_warehouse_sk 
ORDER BY inv_warehouse_sk;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,,medium,,0
Which websites were active during January 2022?,"# Paraphrases of ""Which websites were active during January 2022?""

1. What web platforms were operational throughout the month of January 2022?

2. During January 2022, which internet sites maintained activity?

3. Can you identify the websites that were functioning in January of 2022?","SELECT web_site_id, web_name FROM web_site WHERE web_rec_start_date <= '2022-01-31' AND (web_rec_end_date IS NULL OR web_rec_end_date >= '2022-01-01')",web_site,web_site.web_site_id;web_site.web_rec_start_date;web_site.web_name;web_site.web_rec_end_date,"To identify which websites were operational during a specific time period, which helps track the company's online presence and could be useful for historical analysis, auditing, or understanding changes in the digital channel strategy over time.",medium,"SELECT web_site_id, web_name FROM web_site WHERE '2022-01-01' BETWEEN web_rec_start_date AND COALESCE(web_rec_end_date, '9999-12-31') OR '2022-01-31' BETWEEN web_rec_start_date AND COALESCE(web_rec_end_date, '9999-12-31') OR (web_rec_start_date <= '2022-01-01' AND (web_rec_end_date IS NULL OR web_rec_end_date >= '2022-01-31'))",1
Which websites were active during January 2022?,,"SELECT dummy_col, ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(ws.ws_bill_customer_sk) AS transaction_count FROM web_sales ws JOIN income_band ib ON (ws.ws_bill_cdemo_sk = ib.ib_income_band_sk) GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound;",income_band;web_sales,,,hard,,0
Which websites were active during January 2022?,,"SELECT dummy_col, web_site_id, web_name FROM web_site WHERE web_rec_start_date <= '2022-01-31' AND (web_rec_end_date IS NULL OR web_rec_end_date >= '2022-01-01')",web_site,web_site.web_name;web_site.web_site_id;web_site.web_rec_start_date;web_site.web_rec_end_date,,easy,,0
What are the top 5 web pages that generated the highest sales in the last year?,"# Paraphrases of the Original Question

1. Which five websites produced the most revenue during the previous year?

2. In the past year, what were the top five web pages in terms of sales generation?

3. Could you identify the five most profitable web pages based on sales figures from the last twelve months?","SELECT wp.wp_web_page_id, wp.wp_web_page_sk, SUM(ws.ws_net_paid) as total_sales 
FROM web_sales ws 
JOIN web_page wp ON ws.ws_web_page_sk = wp.wp_web_page_sk 
WHERE ws.ws_sold_date_sk >= (SELECT MAX(d_date_sk) - 365 FROM date_dim) 
GROUP BY wp.wp_web_page_id, wp.wp_web_page_sk 
ORDER BY total_sales DESC 
LIMIT 5;",web_sales;web_page;date_dim,,"To identify which web pages are most effective at generating sales, allowing the business to focus design and marketing efforts on successful page templates or styles, and potentially replicate their success across other pages.",medium,"We could also analyze this by time periods other than yearly (quarterly, monthly) to identify seasonal trends.;We could add additional dimensions such as customer demographics or product categories to understand which web pages perform best for specific market segments.",1
What are the top 5 web pages that generated the highest sales in the last year?,,"SELECT d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What are the top 5 web pages that generated the highest sales in the last year?,,"SELECT dummy_col, wp.wp_web_page_id, wp.wp_web_page_sk, SUM(ws.ws_net_paid) as total_sales 
FROM web_sales ws 
JOIN web_page wp ON ws.ws_web_page_sk = wp.wp_web_page_sk 
WHERE ws.ws_sold_date_sk >= (SELECT MAX(d_date_sk) - 365 FROM date_dim) 
GROUP BY wp.wp_web_page_id, wp.wp_web_page_sk 
ORDER BY total_sales DESC 
LIMIT 5;",web_sales;web_page;date_dim,,,hard,,0
What are the carriers available in our shipping modes?,"# Paraphrases of ""What are the carriers available in our shipping modes?""

1. Which transportation providers are included in our available shipping options?

2. Can you list the delivery services that operate within our shipping methods?

3. What courier companies do we offer across our different modes of shipping?",SELECT DISTINCT sm_carrier FROM ship_mode ORDER BY sm_carrier;,ship_mode,ship_mode.sm_carrier,"To identify all the carrier partners or logistics providers that the business works with for shipping products. This information is useful for vendor management, contract negotiations, and understanding the breadth of shipping options available to customers.",easy,"SELECT sm_carrier, COUNT(*) as mode_count FROM ship_mode GROUP BY sm_carrier ORDER BY sm_carrier;;SELECT sm_carrier, sm_type FROM ship_mode ORDER BY sm_carrier, sm_type;",1
What are the carriers available in our shipping modes?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What are the carriers available in our shipping modes?,,"SELECT DISTINCT dummy_col, sm_carrier FROM ship_mode ORDER BY sm_carrier;",ship_mode,ship_mode.sm_carrier,,easy,,0
What's the total dollar amount of web sales shipped from each warehouse?,"Here are 3 paraphrased versions of the original question:

1. What is the monetary sum of online orders dispatched from individual warehouses?

2. For each warehouse facility, what is the cumulative financial value of internet purchases that were sent out?

3. How much revenue in dollars was generated by e-commerce sales shipped per warehouse location?","SELECT w.w_warehouse_name, SUM(ws.ws_net_paid) as total_sales_amount FROM web_sales ws JOIN warehouse w ON ws.ws_warehouse_sk = w.w_warehouse_sk GROUP BY w.w_warehouse_name ORDER BY total_sales_amount DESC",warehouse;web_sales,,"To analyze the distribution of sales across different warehouses to identify which warehouse locations are handling the most sales volume by dollar amount. This helps in evaluating warehouse performance, planning capacity, and optimizing distribution strategies.",medium,We could also calculate this using ws_net_paid_inc_tax or ws_net_paid_inc_ship instead of ws_net_paid depending on which sales metric is most relevant to the business question.,1
What's the total dollar amount of web sales shipped from each warehouse?,,"SELECT dummy_col, COUNT(*) FROM household_demographics WHERE hd_vehicle_count > 3",household_demographics,household_demographics.hd_vehicle_count,,easy,,0
What's the total dollar amount of web sales shipped from each warehouse?,,"SELECT dummy_col, w.w_warehouse_name, SUM(ws.ws_net_paid) as total_sales_amount FROM web_sales ws JOIN warehouse w ON ws.ws_warehouse_sk = w.w_warehouse_sk GROUP BY w.w_warehouse_name ORDER BY total_sales_amount DESC",warehouse;web_sales,,,hard,,0
